region,year,cashless_payments_index,payment_sum_mln_rub,cash_withdrawal_sum_mln_rub
Алтайский край,2022,58.18057967879498,472158.92496000003,339381.50239
Алтайский край,2023,59.47004187060265,556878.00155,379522.88876999996
Амурская область,2022,60.711860109027945,272177.62962,176132.84733
Амурская область,2023,62.70340607432709,327854.35783000005,195010.95102
Архангельская область,2022,67.58856813983728,379382.88433000003,181929.32389
Архангельская область,2023,68.60031501842838,412987.93823,189032.5308
Астраханская область,2022,55.30085658690594,199984.20052,161645.28022
Астраханская область,2023,57.384026429296334,245152.56246000002,182061.38141
Белгородская область,2022,58.60005106241869,383627.043,271026.04355
Белгородская область,2023,60.68123559241288,456705.19242,295924.82237999997
Брянская область,2022,54.02429879429745,233774.13365,198946.21417000002
Брянская область,2023,56.007719113286036,276693.44464999996,217333.89484999998
Владимирская область,2022,59.73658831141533,327296.71344,220603.19629999998
Владимирская область,2023,61.32780997671564,392789.98494,247686.14667
Волгоградская область,2022,57.40979549846801,498629.33085,369914.66329
Волгоградская область,2023,59.365566725038036,601103.1234500001,411441.95379
Вологодская область,2022,63.72599593119751,344331.55830000003,195999.82965
Вологодская область,2023,65.0144640270409,385189.94989000005,207278.13495
Воронежская область,2022,59.66891936005647,594108.3589700001,401566.38316
Воронежская область,2023,61.86466462149139,720003.86174,443833.14626
Донецкая Народная Республика,2022,26.870985438202528,874.4586499999999,2379.8271
Донецкая Народная Республика,2023,17.331716400300913,44354.17008,211559.14546
Еврейская автономная область,2022,63.62401532304869,37262.047869999995,21303.96322
Еврейская автономная область,2023,65.6091802146027,45322.183,23756.843520000002
Забайкальский край,2022,63.49096164612804,260536.12866000002,149815.39525
Забайкальский край,2023,66.13008170943745,331143.24312,169602.00709
Запорожская область,2022,10.022257340890068,340.62635,3058.07255
Запорожская область,2023,21.562221541449016,12886.55984,46877.96774
Ивановская область,2022,55.3371642169384,206997.61686,167068.56414
Ивановская область,2023,57.67419410039618,252760.10940000002,185495.01205000002
Иркутская область,2022,63.276621407023434,765515.96125,444276.76192
Иркутская область,2023,65.51044050164437,914202.85175,481304.25330000004
Кабардино-Балкарская Республика,2022,38.98612681821966,77307.40975,120987.25571
Кабардино-Балкарская Республика,2023,41.197915356890036,102833.29387,146774.7093
Калининградская область,2022,61.28641418011521,350960.68494999997,221695.8975
Калининградская область,2023,62.26843033442506,408870.86006000004,247755.39158
Калужская область,2022,59.73284466666009,306429.42381999997,206570.46013
Калужская область,2023,61.25182931214705,355425.60587,224843.76708
Камчатский край,2022,64.88841715582379,170306.16681,92153.87501999999
Камчатский край,2023,68.24300021760224,203493.63629999998,94696.12038000001
Карачаево-Черкесская Республика,2022,42.93193510410791,55667.00162,73996.38645
