region,year,digital_payments_via_internet_share_pct,electronic_payment_orders_total_bln_rub,electronic_payment_orders_via_internet_bln_rub
Алтайский край,2014,56.09608907637379,945.050774,530.136524
Алтайский край,2015,81.71380422901713,1098.568546,897.682151
Алтайский край,2016,93.79379321753719,1209.177967,1134.133882
Алтайский край,2017,97.7153696677479,1233.51632,1205.335032
Алтайский край,2018,98.06847058071524,1227.398908,1203.691337
Алтайский край,2019,98.6628643163719,1254.99747,1238.216451
Алтайский край,2020,98.99476916476956,1450.972104,1436.386485
Алтайский край,2021,99.21935922244765,1756.246073,1742.5361
Алтайский край,2022,98.97748341364047,1957.58448,1937.567854
Алтайский край,2023,98.99987238882206,2201.358882,2179.342484
Амурская область,2014,59.96497299728788,437.894162,262.583116
Амурская область,2015,83.65184002266153,322.971919,270.171953
Амурская область,2016,91.18798052709074,608.415099,554.801442
Амурская область,2017,93.13079026352689,745.890706,694.653909
Амурская область,2018,92.17120237126701,782.855068,721.566929
Амурская область,2019,93.75561723996934,855.269897,801.863571
Амурская область,2020,93.82500538471557,888.305973,833.453127
Амурская область,2021,80.5859698906283,1219.784005,982.974771
Амурская область,2022,98.28781534715183,1278.976947,1257.0785
Амурская область,2023,98.25562404484616,1451.221047,1425.906296
Архангельская область,2014,89.76778339522325,814.0081980000001,730.717116
Архангельская область,2015,93.82410400432843,992.653763,931.348499
Архангельская область,2016,97.46607151227299,941.973387,918.104455
Архангельская область,2017,98.47120845481425,778.868253,766.960981
Архангельская область,2018,98.47326642410104,771.047954,759.276106
Архангельская область,2019,98.12473476901577,655.023396,642.73997
Архангельская область,2020,98.32676654307866,628.669894,618.150779
Архангельская область,2021,98.72755134286557,718.658466,709.513906
Архангельская область,2022,97.82057256385937,843.700859,825.313011
Архангельская область,2023,98.27960304905403,903.500555,887.956759
Астраханская область,2014,59.2525947786364,417.20013600000004,247.20190599999998
Астраханская область,2015,92.16148048799238,478.511088,441.002903
Астраханская область,2016,95.41641862516114,467.100925,445.690974
Астраханская область,2017,96.09616954394649,279.39989,268.492592
Астраханская область,2018,97.36959837319374,332.977326,324.218685
Астраханская область,2019,96.89206372825848,313.381104,303.641419
Астраханская область,2020,96.72408712036675,307.215557,297.151443
Астраханская область,2021,96.8206790080428,314.675713,304.671162
Астраханская область,2022,96.41146250004859,321.68375,310.140008
Астраханская область,2023,96.51426294858665,380.057985,366.810163
Белгородская область,2014,69.86786157027746,1482.6853959999999,1035.92058
Белгородская область,2015,69.61728365129906,1751.965084,1219.670502
Белгородская область,2016,90.61752145183115,1812.505876,1642.447901
Белгородская область,2017,93.48523406801964,1819.654969,1701.108707
Белгородская область,2018,98.61564812191416,1986.106382,1958.611681
Белгородская область,2019,99.14860236770645,1970.832824,1954.0532
Белгородская область,2020,99.38985490698825,2127.106511,2114.128075
Белгородская область,2021,99.57639568311075,2849.97072,2837.898121
Белгородская область,2022,99.36628396389604,3058.357355,3038.976054
Белгородская область,2023,99.44970295093523,3552.665789,3533.115574
Брянская область,2014,68.48500138751903,336.98997199999997,230.78758699999997
Брянская область,2015,76.99160336598266,429.633588,330.781788
Брянская область,2016,90.84194951957684,388.595554,353.007777
Брянская область,2017,97.76163604039587,459.423766,449.14019
Брянская область,2018,98.87574232724373,600.545957,593.794273
Брянская область,2019,98.73918650139947,609.683114,601.996147
Брянская область,2020,98.54682067969067,653.659178,644.160338
Брянская область,2021,98.8903607097316,774.633079,766.037446
Брянская область,2022,98.67511066185767,897.032881,885.148188
Брянская область,2023,98.90025243928626,992.8724,981.95331
Владимирская область,2014,50.73982971708809,611.9254060000001,310.489909
Владимирская область,2015,71.55639931295447,664.088728,475.197982
Владимирская область,2016,91.64214080125515,745.717145,683.391156
Владимирская область,2017,98.49025033361455,636.109099,626.505444
Владимирская область,2018,98.740856044604,675.6704,667.162737
Владимирская область,2019,98.72865982846375,733.416375,724.092158
Владимирская область,2020,98.89401947702534,810.405682,801.442753
Владимирская область,2021,99.23229623647403,1054.545957,1046.450168
Владимирская область,2022,98.91307617706265,1210.887343,1197.72592
Владимирская область,2023,99.05759756644352,1412.872731,1399.557784
Волгоградская область,2014,75.16294551476206,1930.822861,1451.263335
Волгоградская область,2015,84.34371995440841,2268.59404,1913.416604
Волгоградская область,2016,93.11665316534157,2229.884832,2076.394125
Волгоградская область,2017,91.52526071145176,1430.896773,1309.632002
Волгоградская область,2018,92.43277025901673,1122.438989,1037.501452
Волгоградская область,2019,95.60256541972672,1210.488548,1157.258106
Волгоградская область,2020,97.63832935095056,1438.858844,1404.877737
Волгоградская область,2021,97.98751532770561,1733.817876,1698.925057
Волгоградская область,2022,98.67983381364024,2013.643,1987.059566
Волгоградская область,2023,99.02199849597788,2836.85985,2809.115318
Вологодская область,2014,88.03528915708542,1087.4788509999998,957.365151
Вологодская область,2015,92.36426778555047,1072.067494,990.207291
Вологодская область,2016,97.66501640167681,1208.407546,1180.191428
Вологодская область,2017,99.09150533198058,1094.726513,1084.780981
Вологодская область,2018,99.08906764680663,1195.153401,1184.266362
Вологодская область,2019,99.08646571331235,913.096544,904.755094
Вологодская область,2020,99.17270025503393,870.298709,863.09873
Вологодская область,2021,99.42637407159917,1093.018061,1086.748226
Вологодская область,2022,99.17799040102845,1270.417768,1259.974812
Вологодская область,2023,99.3262222845489,1534.85189,1524.5104
Воронежская область,2014,73.63271138474421,4190.731376,3085.7491389999996
Воронежская область,2015,81.21271292563823,5412.618272,4395.734139
Воронежская область,2016,87.51154466583911,6105.174544,5342.732548
Воронежская область,2017,90.13168432363294,6428.180338,5793.82721
Воронежская область,2018,91.45274662742841,6743.03923,6166.694582
Воронежская область,2019,95.87287897953168,7075.666925,6783.645588
Воронежская область,2020,94.51024845730257,7014.193393,6629.131603
Воронежская область,2021,98.17458318376356,6342.917079,6227.132404
Воронежская область,2022,98.03014118636753,6819.463358,6685.129558
Воронежская область,2023,97.90518901436216,7002.814574,6856.118845
Еврейская автономная область,2014,56.55195823645591,33.051218,18.691111
Еврейская автономная область,2015,85.08087971010454,29.182659,24.828863
Еврейская автономная область,2016,85.11814447869739,31.443196,26.763865
Еврейская автономная область,2017,71.59678170940501,40.769718,29.189806
Еврейская автономная область,2018,86.67811231847672,38.048219,32.979478
Еврейская автономная область,2019,97.96375921783046,33.947115,33.25587
Еврейская автономная область,2020,98.17659980651563,37.003506,36.328784
Еврейская автономная область,2021,98.27118783256915,39.234511,38.55622
Еврейская автономная область,2022,97.69926240583945,42.676314,41.694444
Еврейская автономная область,2023,98.04334470577564,48.934373,47.976896
Забайкальский край,2014,91.92600714652416,234.437884,215.509386
Забайкальский край,2015,95.59383550067207,270.79831,258.866491
Забайкальский край,2016,91.96355026017977,310.958269,285.968264
Забайкальский край,2017,96.28796535663992,347.239297,334.349654
Забайкальский край,2018,98.26800932046724,341.775569,335.856048
Забайкальский край,2019,98.2126079885465,344.834371,338.670829
Забайкальский край,2020,98.38797298825789,362.069057,356.232406
Забайкальский край,2021,98.66396133909726,423.503613,417.845441
Забайкальский край,2022,98.17868609430421,451.798011,443.569351
Забайкальский край,2023,98.50717824304218,543.711529,535.594885
Ивановская область,2014,83.98951344361663,484.85316,407.22581
Ивановская область,2015,90.98852111937016,442.989797,403.069865
Ивановская область,2016,96.4312206939826,508.902525,490.740917
Ивановская область,2017,98.39755410521244,625.785871,615.757991
Ивановская область,2018,98.73473314131618,615.713353,607.922936
