region,year,income_pc
Алтайский край,2011,12527.0
Алтайский край,2012,13706.0
Алтайский край,2013,16070.0
Алтайский край,2014,18573.0
Алтайский край,2015,21277.0
Алтайский край,2016,21779.0
Алтайский край,2017,22788.0
Алтайский край,2018,23666.0
Алтайский край,2019,24935.0
Алтайский край,2020,24981.0
Алтайский край,2021,27305.0
Алтайский край,2022,32901.0
Алтайский край,2023,36431.0
Алтайский край,2024,38890.0
Алтайский край,2025,46133.0
Амурская область,2011,17800.0
Амурская область,2012,21836.0
Амурская область,2013,23097.0
Амурская область,2014,25478.0
Амурская область,2015,28371.0
Амурская область,2016,28136.0
Амурская область,2017,29409.0
Амурская область,2018,31178.0
Амурская область,2019,33599.0
Амурская область,2020,35862.0
Амурская область,2021,40067.0
Амурская область,2022,49798.0
Амурская область,2023,54055.0
Амурская область,2024,56097.0
Амурская область,2025,66142.0
Архангельская область,2011,21538.0
Архангельская область,2012,23415.0
Архангельская область,2013,25849.0
Архангельская область,2014,28905.0
Архангельская область,2015,32434.0
Архангельская область,2016,32817.0
Архангельская область,2017,34057.0
Архангельская область,2018,36002.0
Архангельская область,2019,38304.0
Архангельская область,2020,39788.0
Архангельская область,2021,43381.0
Архангельская область,2022,52050.0
Архангельская область,2023,58967.0
Архангельская область,2024,60508.0
Архангельская область,2025,68117.0
Архангельская область без автономного округа,2011,20342.0
Архангельская область без автономного округа,2012,21967.0
Архангельская область без автономного округа,2013,24277.0
Архангельская область без автономного округа,2014,27402.0
Архангельская область без автономного округа,2015,30816.0
Архангельская область без автономного округа,2016,31201.0
Архангельская область без автономного округа,2017,32381.0
Архангельская область без автономного округа,2018,34133.0
Архангельская область без автономного округа,2019,36377.0
Архангельская область без автономного округа,2020,37728.0
Архангельская область без автономного округа,2021,41307.0
Архангельская область без автономного округа,2022,49347.0
Архангельская область без автономного округа,2023,55952.0
Архангельская область без автономного округа,2024,57548.0
Архангельская область без автономного округа,2025,64518.0
Астраханская область,2011,16060.0
Астраханская область,2012,17876.0
Астраханская область,2013,20104.0
Астраханская область,2014,22211.0
Астраханская область,2015,24149.0
Астраханская область,2016,23205.0
Астраханская область,2017,23313.0
Астраханская область,2018,24285.0
Астраханская область,2019,25590.0
Астраханская область,2020,25912.0
Астраханская область,2021,27675.0
Астраханская область,2022,33137.0
Астраханская область,2023,36593.0
Астраханская область,2024,37743.0
Астраханская область,2025,43152.0
Белгородская область,2011,18796.0
Белгородская область,2012,21649.0
Белгородская область,2013,23229.0
Белгородская область,2014,24724.0
Белгородская область,2015,28006.0
Белгородская область,2016,29751.0
Белгородская область,2017,30286.0
Белгородская область,2018,30713.0
Белгородская область,2019,32322.0
Белгородская область,2020,32799.0
Белгородская область,2021,35511.0
Белгородская область,2022,41855.0
Белгородская область,2023,47257.0
Белгородская область,2024,49590.0
Белгородская область,2025,57866.0
Брянская область,2011,15352.0
Брянская область,2012,17484.0
Брянская область,2013,18733.0
