region,year,online_buyers_pct,indicator_note
Алтайский край,2022,89.1,proxy_population_internet_users_pct
Алтайский край,2024,25.7,proxy_fixed_broadband_subscriptions_per_100
Амурская область,2022,92.7,proxy_population_internet_users_pct
Амурская область,2024,23.0,proxy_fixed_broadband_subscriptions_per_100
Архангельская область,2022,88.2,proxy_population_internet_users_pct
Архангельская область,2024,27.6,proxy_fixed_broadband_subscriptions_per_100
Архангельская область без автономного округа,2022,88.4,proxy_population_internet_users_pct
Архангельская область без автономного округа,2024,27.7,proxy_fixed_broadband_subscriptions_per_100
Астраханская область,2022,91.0,proxy_population_internet_users_pct
Астраханская область,2024,23.6,proxy_fixed_broadband_subscriptions_per_100
Белгородская область,2022,86.6,proxy_population_internet_users_pct
Белгородская область,2024,24.7,proxy_fixed_broadband_subscriptions_per_100
Брянская область,2022,87.7,proxy_population_internet_users_pct
Брянская область,2024,27.3,proxy_fixed_broadband_subscriptions_per_100
Владимирская область,2022,87.6,proxy_population_internet_users_pct
Владимирская область,2024,32.4,proxy_fixed_broadband_subscriptions_per_100
Волгоградская область,2022,95.7,proxy_population_internet_users_pct
Волгоградская область,2024,21.6,proxy_fixed_broadband_subscriptions_per_100
Вологодская область,2022,88.5,proxy_population_internet_users_pct
Вологодская область,2024,23.8,proxy_fixed_broadband_subscriptions_per_100
Воронежская область,2022,95.9,proxy_population_internet_users_pct
Воронежская область,2024,34.2,proxy_fixed_broadband_subscriptions_per_100
Еврейская автономная область,2022,84.4,proxy_population_internet_users_pct
Еврейская автономная область,2024,18.6,proxy_fixed_broadband_subscriptions_per_100
Забайкальский край,2022,89.9,proxy_population_internet_users_pct
Забайкальский край,2024,19.2,proxy_fixed_broadband_subscriptions_per_100
Ивановская область,2022,89.7,proxy_population_internet_users_pct
Ивановская область,2024,26.8,proxy_fixed_broadband_subscriptions_per_100
Иркутская область,2022,91.2,proxy_population_internet_users_pct
Иркутская область,2024,26.4,proxy_fixed_broadband_subscriptions_per_100
Кабардино-Балкарская Республика,2022,93.8,proxy_population_internet_users_pct
Кабардино-Балкарская Республика,2024,14.7,proxy_fixed_broadband_subscriptions_per_100
Калининградская область,2022,93.7,proxy_population_internet_users_pct
Калининградская область,2024,27.0,proxy_fixed_broadband_subscriptions_per_100
Калужская область,2022,87.6,proxy_population_internet_users_pct
Калужская область,2024,29.8,proxy_fixed_broadband_subscriptions_per_100
Камчатский край,2022,88.3,proxy_population_internet_users_pct
Камчатский край,2024,21.3,proxy_fixed_broadband_subscriptions_per_100
Карачаево-Черкесская Республика,2022,91.4,proxy_population_internet_users_pct
Карачаево-Черкесская Республика,2024,13.1,proxy_fixed_broadband_subscriptions_per_100
Кемеровская область,2022,87.8,proxy_population_internet_users_pct
Кемеровская область,2024,25.4,proxy_fixed_broadband_subscriptions_per_100
Кировская область,2022,86.5,proxy_population_internet_users_pct
Кировская область,2024,24.5,proxy_fixed_broadband_subscriptions_per_100
Костромская область,2022,87.8,proxy_population_internet_users_pct
Костромская область,2024,35.4,proxy_fixed_broadband_subscriptions_per_100
Краснодарский край,2022,94.6,proxy_population_internet_users_pct
Краснодарский край,2024,26.2,proxy_fixed_broadband_subscriptions_per_100
Красноярский край,2022,87.5,proxy_population_internet_users_pct
Красноярский край,2024,16.7,proxy_fixed_broadband_subscriptions_per_100
Курганская область,2022,90.7,proxy_population_internet_users_pct
Курганская область,2024,25.2,proxy_fixed_broadband_subscriptions_per_100
Курская область,2022,89.3,proxy_population_internet_users_pct
Курская область,2024,25.8,proxy_fixed_broadband_subscriptions_per_100
Ленинградская область,2022,89.8,proxy_population_internet_users_pct
Ленинградская область,2024,17.1,proxy_fixed_broadband_subscriptions_per_100
Липецкая область,2022,87.2,proxy_population_internet_users_pct
Липецкая область,2024,30.5,proxy_fixed_broadband_subscriptions_per_100
Магаданская область,2022,97.3,proxy_population_internet_users_pct
Магаданская область,2024,26.0,proxy_fixed_broadband_subscriptions_per_100
Московская область,2022,97.5,proxy_population_internet_users_pct
Московская область,2024,27.5,proxy_fixed_broadband_subscriptions_per_100
Мурманская область,2022,92.9,proxy_population_internet_users_pct
Мурманская область,2024,36.4,proxy_fixed_broadband_subscriptions_per_100
Ненецкий автономный округ,2022,83.0,proxy_population_internet_users_pct
Ненецкий автономный округ,2024,25.0,proxy_fixed_broadband_subscriptions_per_100
Нижегородская область,2022,89.1,proxy_population_internet_users_pct
Нижегородская область,2024,28.3,proxy_fixed_broadband_subscriptions_per_100
