region,year,population
Алтайский край,2014,2390638.0
Амурская область,2014,811274.0
"Архангельская область, включая Ненецкий автономный округ",2014,1191785.0
Астраханская область,2014,1016516.0
Белгородская область,2014,1544108.0
Брянская область,2014,1242599.0
Владимирская область,2014,1413321.0
Волгоградская область,2014,2569126.0
Вологодская область,2014,1193371.0
Воронежская область,2014,2328959.0
Город федерального значения - г. Москва,2014,12108257.0
Город федерального значения - г. Санкт-Петербург,2014,5131942.0
Еврейская автономная областьЕврейская автономная область,2014,170377.0
Забайкальский край,2014,1090344.0
Ивановская область,2014,1043130.0
Иркутская область,2014,2418348.0
Кабардино-Балкарская Республика,2014,858397.0
Калининградская область,2014,963128.0
Калужская область,2014,1004544.0
Камчатский край,2014,319864.0
Карачаево-Черкесская Республика,2014,469837.0
Кемеровская область,2014,2734075.0
Кировская область,2014,1310929.0
Костромская область,2014,656389.0
Краснодарский край,2014,5404273.0
Красноярский край,2014,2852810.0
Курганская область,2014,877149.0
Курская область,2014,1118915.0
Ленинградская область,2014,1763924.0
Липецкая область,2014,1159866.0
Магаданская область,2014,150312.0
Московская область,2014,7133620.0
Мурманская область,2014,771058.0
Нижегородская область,2014,3281496.0
Новгородская область,2014,622430.0
Новосибирская область,2014,2731176.0
Омская область,2014,1973876.0
Оренбургская область,2014,2008566.0
Орловская область,2014,769980.0
Пензенская область,2014,1360587.0
Пермский край,2014,2636154.0
Приморский край,2014,1938516.0
Псковская область,2014,656561.0
Республика Адыгея,2014,446406.0
Республика Алтай,2014,211645.0
Республика Башкортостан,2014,4069698.0
Республика Бурятия,2014,973860.0
Республика Дагестан,2014,2963918.0
Республика Ингушетия,2014,453010.0
Республика Калмыкия,2014,282021.0
Республика Карелия,2014,634402.0
Республика Коми,2014,872057.0
Республика Марий Эл,2014,688686.0
Республика Мордовия,2014,812156.0
Республика Саха (Якутия),2014,954803.0
Республика Северная Осетия-Алания,2014,703977.0
Республика Татарстан,2014,3838230.0
Республика Тыва,2014,311761.0
Республика Хакасия,2014,534079.0
Ростовская область,2014,4245532.0
Рязанская область,2014,1140844.0
Самарская область,2014,3211187.0
Саратовская область,2014,2496552.0
Сахалинская область,2014,491027.0
Свердловская область,2014,4320677.0
Смоленская область,2014,967896.0
Ставропольский край,2014,2794508.0
Тамбовская область,2014,1068934.0
Тверская область,2014,1325249.0
Томская область,2014,1070128.0
Тульская область,2014,1521497.0
Тюменская область без автономных округов,2014,1409426.0
Тюменская область включая автономные округа,2014,3546345.0
Удмуртская Республика,2014,1517050.0
Ульяновская область,2014,1267561.0
Хабаровский край,2014,1339912.0
Ханты-Мансийский автономный округ - Югра,2014,1597248.0
Челябинская область,2014,3490053.0
Чеченская Республика,2014,1346438.0
Чувашская Республика,2014,1239984.0
Чукотский автономный округ,2014,50555.0
Ярославская область,2014,1271766.0
