region,year,share_online
Центральный федеральный округ,2014,0.8
Белгородская область,2014,0.1
Брянская область,2014,0.1
Владимирская область,2014,0.9
Воронежская область,2014,0.3
Ивановская область,2014,0.1
Костромская область,2014,0.1
Курская область,2014,0.1
Липецкая область,2014,0.2
Московская область,2014,0.4
Орловская область,2014,0.2
Рязанская область,2014,0.1
Смоленская область,2014,0.1
Тамбовская область,2014,0.4
Тверская область,2014,4.2
Тульская область,2014,0.1
Ярославская область,2014,0.1
г.Москва,2014,1.1
Северо-Западный федеральный округ,2014,1.0
Республика Карелия,2014,0.9
Архангельская область,2014,0.2
Архангельская область (кроме Ненецкого автономного округа),2014,0.2
Вологодская область,2014,0.2
Ленинградская область,2014,0.6
Мурманская область,2014,0.3
г. Санкт-Петербург,2014,2.0
Южный федеральный округ,2014,0.5
Республика Адыгея,2014,0.1
Краснодарский край,2014,0.7
Астраханская область,2014,0.1
Волгоградская область,2014,0.1
Ростовская область,2014,0.7
Северо-Кавказский федеральный округ,2014,0.1
Кабардино-Балкарская Республика,2014,0.1
Карачаево-Черкесская Республика,2014,0.1
Республика Северная Осетия -Алания,2014,0.1
Чеченская Республика,2014,0.01
Ставропольский край,2014,0.1
Приволжский федеральный округ,2014,0.5
Республика Башкортостан,2014,0.1
Республика Марий Эл,2014,0.1
Республика Мордовия,2014,0.1
Республика Татарстан,2014,0.6
Удмуртская Республика,2014,0.2
Чувашская Республика,2014,0.1
Пермский край,2014,0.4
Кировская область,2014,0.1
Нижегородская область,2014,1.5
Пензенская область,2014,0.1
Самарская область,2014,0.7
Саратовская область,2014,0.5
Ульяновская область,2014,0.3
Уральский федеральный округ,2014,1.1
Курганская область,2014,0.2
Свердловская область,2014,1.4
Тюменская область,2014,0.3
в том числе: Ханты-Мансийский авт. округ,2014,0.3
Ямало-Ненецкий авт. округ,2014,0.3
Тюменская область без авт. округов,2014,0.4
Челябинская область,2014,1.9
Сибирский федеральный округ1),2014,0.8
Республика Алтай,2014,0.3
Республика Тыва,2014,0.7
Республика Хакасия,2014,0.2
Алтайский край,2014,0.1
Красноярский край,2014,2.4
Иркутская область,2014,0.4
Кемеровская область - Кузбасс,2014,0.2
Новосибирская область,2014,1.1
Омская область,2014,0.2
Томская область,2014,2.1
Дальневосточный федеральный округ1),2014,0.2
Республика Бурятия,2014,0.1
Приморский край,2014,0.2
Хабаровский край,2014,0.8
Центральный федеральный округ,2015,1.18
Белгородская область,2015,0.18
Брянская область,2015,0.19
Владимирская область,2015,0.85
Воронежская область,2015,0.62
Ивановская область,2015,0.13
Калужская область,2015,0.1
Костромская область,2015,0.2
Курская область,2015,0.1
Липецкая область,2015,0.16
Московская область,2015,0.51
Орловская область,2015,0.26
Рязанская область,2015,0.16
Смоленская область,2015,0.07
Тамбовская область,2015,0.45
Тверская область,2015,6.7
Тульская область,2015,0.25
Ярославская область,2015,0.11
г.Москва,2015,1.79
Северо-Западный федеральный округ,2015,0.88
Республика Карелия,2015,0.84
Республика Коми,2015,0.0
Архангельская область,2015,0.26
Ненецкий автономный округ (Архангельская область),2015,0.0
Архангельская область (кроме Ненецкого автономного округа),2015,0.27
Вологодская область,2015,0.62
Калининградская область,2015,0.09
Ленинградская область,2015,0.63
Мурманская область,2015,0.27
Псковская область,2015,0.01
г. Санкт-Петербург,2015,1.57
Южный федеральный округ,2015,0.53
Республика Адыгея,2015,0.12
Республика Крым,2015,0.12
Краснодарский край,2015,0.63
Астраханская область,2015,0.13
Волгоградская область,2015,0.19
Ростовская область,2015,0.79
г. Севастополь,2015,0.05
Северо-Кавказский федеральный округ,2015,0.06
Республика Дагестан,2015,0.03
Кабардино-Балкарская Республика,2015,0.05
Республика Северная Осетия -Алания,2015,0.02
Чеченская Республика,2015,0.01
Ставропольский край,2015,0.14
Приволжский федеральный округ,2015,0.59
Республика Башкортостан,2015,0.08
Республика Марий Эл,2015,0.07
Республика Мордовия,2015,0.08
Республика Татарстан,2015,1.09
Удмуртская Республика,2015,0.31
Чувашская Республика,2015,0.07
Пермский край,2015,0.35
Кировская область,2015,0.45
Нижегородская область,2015,1.42
Оренбургская область,2015,0.04
Пензенская область,2015,0.09
Самарская область,2015,0.83
Саратовская область,2015,0.51
Ульяновская область,2015,0.35
Уральский федеральный округ,2015,0.97
Курганская область,2015,0.21
Свердловская область,2015,1.37
Тюменская область,2015,0.34
в том числе: Ханты-Мансийский авт. округ,2015,0.31
Ямало-Ненецкий авт. округ,2015,0.3
Тюменская область без авт. округов,2015,0.39
Челябинская область,2015,1.35
Сибирский федеральный округ1),2015,1.43
Республика Алтай,2015,0.33
Республика Тыва,2015,0.7
Республика Хакасия,2015,0.01
Алтайский край,2015,0.23
Красноярский край,2015,1.99
Иркутская область,2015,0.5
Кемеровская область - Кузбасс,2015,0.11
Новосибирская область,2015,4.54
Омская область,2015,0.62
Томская область,2015,3.39
Дальневосточный федеральный округ1),2015,0.49
Республика Бурятия,2015,0.09
Республика Саха (Якутия),2015,0.0
Забайкальский край,2015,0.16
Камчатский край,2015,0.03
Приморский край,2015,0.53
Хабаровский край,2015,1.41
Амурская область,2015,0.07
Сахалинская область,2015,0.07
Центральный федеральный округ,2016,2.0
Белгородская область,2016,0.2
Брянская область,2016,0.3
Владимирская область,2016,0.8
Воронежская область,2016,0.7
Ивановская область,2016,0.3
Калужская область,2016,0.1
Костромская область,2016,0.2
Курская область,2016,0.1
Липецкая область,2016,0.2
Московская область,2016,2.6
Орловская область,2016,0.4
Рязанская область,2016,0.3
Смоленская область,2016,0.1
Тамбовская область,2016,0.5
Тверская область,2016,0.6
Тульская область,2016,0.4
Ярославская область,2016,0.3
г.Москва,2016,3.1
Северо-Западный федеральный округ,2016,1.0
Республика Карелия,2016,1.0
Республика Коми,2016,0.1
Архангельская область,2016,0.3
Ненецкий автономный округ (Архангельская область),2016,0.0
Архангельская область (кроме Ненецкого автономного округа),2016,0.3
Вологодская область,2016,0.7
Калининградская область,2016,0.1
Ленинградская область,2016,0.6
Мурманская область,2016,0.5
Новгородская область,2016,0.3
Псковская область,2016,0.5
г. Санкт-Петербург,2016,1.6
Южный федеральный округ,2016,0.6
Республика Адыгея,2016,0.1
Республика Крым,2016,0.1
Краснодарский край,2016,0.7
Астраханская область,2016,0.2
Волгоградская область,2016,0.4
Ростовская область,2016,0.9
г. Севастополь,2016,0.0
Северо-Кавказский федеральный округ,2016,0.1
Республика Дагестан,2016,0.0
Кабардино-Балкарская Республика,2016,0.1
Карачаево-Черкесская Республика,2016,0.0
Республика Северная Осетия -Алания,2016,0.0
Чеченская Республика,2016,0.0
Ставропольский край,2016,0.4
Приволжский федеральный округ,2016,0.6
Республика Башкортостан,2016,0.1
Республика Марий Эл,2016,0.1
Республика Мордовия,2016,0.1
Республика Татарстан,2016,1.3
Удмуртская Республика,2016,0.4
Чувашская Республика,2016,0.1
Пермский край,2016,0.4
Кировская область,2016,0.4
Нижегородская область,2016,1.3
Оренбургская область,2016,0.1
Пензенская область,2016,0.1
Самарская область,2016,0.9
Саратовская область,2016,0.8
Ульяновская область,2016,0.4
Уральский федеральный округ,2016,1.1
Курганская область,2016,0.2
Свердловская область,2016,1.7
Тюменская область,2016,0.4
в том числе: Ханты-Мансийский авт. округ,2016,0.3
Ямало-Ненецкий авт. округ,2016,0.3
Тюменская область без авт. округов,2016,0.4
Челябинская область,2016,1.4
Сибирский федеральный округ1),2016,1.4
Республика Алтай,2016,0.4
Республика Тыва,2016,0.8
Республика Хакасия,2016,0.2
Алтайский край,2016,0.2
Красноярский край,2016,1.7
Иркутская область,2016,0.5
Кемеровская область - Кузбасс,2016,0.2
Новосибирская область,2016,4.6
Омская область,2016,0.7
Томская область,2016,3.3
Дальневосточный федеральный округ1),2016,0.6
Республика Бурятия,2016,0.0
Республика Саха (Якутия),2016,0.0
Забайкальский край,2016,0.0
Камчатский край,2016,0.0
Приморский край,2016,0.6
Хабаровский край,2016,1.7
Амурская область,2016,0.1
Сахалинская область,2016,0.1
Центральный федеральный округ,2017,2.1
Белгородская область,2017,0.3
Брянская область,2017,0.3
Владимирская область,2017,0.8
Воронежская область,2017,0.9
Ивановская область,2017,0.5
Калужская область,2017,0.3
Костромская область,2017,0.2
Курская область,2017,0.2
Липецкая область,2017,0.2
Московская область,2017,2.9
Орловская область,2017,0.4
Рязанская область,2017,0.5
Смоленская область,2017,0.3
Тамбовская область,2017,0.5
Тверская область,2017,0.6
Тульская область,2017,0.4
Ярославская область,2017,0.3
г.Москва,2017,3.1
Северо-Западный федеральный округ,2017,1.2
Республика Карелия,2017,1.0
Республика Коми,2017,0.1
Архангельская область,2017,0.9
Ненецкий автономный округ (Архангельская область),2017,1.5
Архангельская область (кроме Ненецкого автономного округа),2017,0.8
Вологодская область,2017,0.9
Калининградская область,2017,0.2
Ленинградская область,2017,0.7
Мурманская область,2017,0.7
Новгородская область,2017,0.6
Псковская область,2017,0.6
г. Санкт-Петербург,2017,1.8
Южный федеральный округ,2017,0.6
Республика Адыгея,2017,0.2
Республика Калмыкия,2017,0.0
Республика Крым,2017,0.3
Краснодарский край,2017,0.6
Астраханская область,2017,0.2
Волгоградская область,2017,0.7
Ростовская область,2017,0.8
г. Севастополь,2017,0.0
Северо-Кавказский федеральный округ,2017,0.2
Республика Дагестан,2017,0.0
Кабардино-Балкарская Республика,2017,0.1
Карачаево-Черкесская Республика,2017,0.0
Республика Северная Осетия -Алания,2017,0.1
Чеченская Республика,2017,0.0
Ставропольский край,2017,0.7
Приволжский федеральный округ,2017,0.7
Республика Башкортостан,2017,0.1
Республика Марий Эл,2017,0.2
Республика Мордовия,2017,0.2
Республика Татарстан,2017,1.3
Удмуртская Республика,2017,0.4
Чувашская Республика,2017,0.3
Пермский край,2017,0.3
Кировская область,2017,0.5
Нижегородская область,2017,1.4
Оренбургская область,2017,0.1
Пензенская область,2017,0.2
Самарская область,2017,1.1
Саратовская область,2017,0.8
Ульяновская область,2017,0.3
Уральский федеральный округ,2017,1.1
Курганская область,2017,0.2
Свердловская область,2017,1.8
Тюменская область,2017,0.4
в том числе: Ханты-Мансийский авт. округ,2017,0.3
Ямало-Ненецкий авт. округ,2017,0.3
Тюменская область без авт. округов,2017,0.4
Челябинская область,2017,1.2
Сибирский федеральный округ1),2017,1.4
Республика Алтай,2017,0.4
Республика Тыва,2017,0.8
Республика Хакасия,2017,0.2
Алтайский край,2017,0.2
Красноярский край,2017,1.5
Иркутская область,2017,0.5
Кемеровская область - Кузбасс,2017,0.2
Новосибирская область,2017,4.8
Омская область,2017,0.9
Томская область,2017,3.4
Дальневосточный федеральный округ1),2017,0.6
Республика Бурятия,2017,0.0
Республика Саха (Якутия),2017,0.0
Забайкальский край,2017,0.1
Камчатский край,2017,0.1
Приморский край,2017,0.6
Хабаровский край,2017,1.9
Амурская область,2017,0.1
Сахалинская область,2017,0.1
Еврейская авт.область,2017,0.1
Центральный федеральный округ,2018,2.7
Белгородская область,2018,0.6
Брянская область,2018,0.4
Владимирская область,2018,0.8
Воронежская область,2018,1.1
Ивановская область,2018,0.7
Калужская область,2018,0.9
Костромская область,2018,0.6
Курская область,2018,0.5
Липецкая область,2018,0.5
Московская область,2018,4.9
Орловская область,2018,0.4
Рязанская область,2018,0.8
Смоленская область,2018,0.3
Тамбовская область,2018,0.5
Тверская область,2018,0.7
Тульская область,2018,0.5
Ярославская область,2018,0.4
г.Москва,2018,3.2
Северо-Западный федеральный округ,2018,2.5
Республика Карелия,2018,1.1
Республика Коми,2018,0.2
Архангельская область,2018,1.4
Ненецкий автономный округ (Архангельская область),2018,1.8
Архангельская область (кроме Ненецкого автономного округа),2018,1.4
Вологодская область,2018,1.3
Калининградская область,2018,0.2
Ленинградская область,2018,1.5
Мурманская область,2018,0.8
Новгородская область,2018,0.7
Псковская область,2018,0.5
г. Санкт-Петербург,2018,4.2
Южный федеральный округ,2018,0.6
Республика Адыгея,2018,0.8
Республика Калмыкия,2018,0.0
Республика Крым,2018,0.5
Краснодарский край,2018,0.6
Астраханская область,2018,0.3
Волгоградская область,2018,0.8
Ростовская область,2018,0.8
г. Севастополь,2018,0.1
Северо-Кавказский федеральный округ,2018,0.3
Республика Дагестан,2018,0.0
Кабардино-Балкарская Республика,2018,0.1
Карачаево-Черкесская Республика,2018,0.1
Республика Северная Осетия -Алания,2018,0.2
Чеченская Республика,2018,0.1
Ставропольский край,2018,0.7
Приволжский федеральный округ,2018,0.8
Республика Башкортостан,2018,0.2
Республика Марий Эл,2018,0.4
Республика Мордовия,2018,0.4
Республика Татарстан,2018,1.3
Удмуртская Республика,2018,0.4
Чувашская Республика,2018,0.7
Пермский край,2018,0.7
Кировская область,2018,0.5
Нижегородская область,2018,1.5
Оренбургская область,2018,0.2
Пензенская область,2018,0.3
Самарская область,2018,1.2
Саратовская область,2018,0.7
Ульяновская область,2018,0.3
Уральский федеральный округ,2018,1.3
Курганская область,2018,0.3
Свердловская область,2018,2.2
Тюменская область,2018,0.4
в том числе: Ханты-Мансийский авт. округ,2018,0.3
Ямало-Ненецкий авт. округ,2018,0.3
Тюменская область без авт. округов,2018,0.4
Челябинская область,2018,1.1
Сибирский федеральный округ1),2018,1.7
Республика Алтай,2018,0.7
Республика Тыва,2018,1.0
Республика Хакасия,2018,0.4
Алтайский край,2018,0.4
Красноярский край,2018,1.5
Иркутская область,2018,0.5
Кемеровская область - Кузбасс,2018,0.6
Новосибирская область,2018,4.8
Омская область,2018,1.1
Томская область,2018,3.3
Дальневосточный федеральный округ1),2018,0.4
Республика Бурятия,2018,0.1
Республика Саха (Якутия),2018,0.1
Забайкальский край,2018,0.1
Камчатский край,2018,0.2
Приморский край,2018,0.6
Хабаровский край,2018,0.8
Амурская область,2018,0.3
Магаданская область,2018,0.0
Сахалинская область,2018,0.1
Еврейская авт.область,2018,0.1
Центральный федеральный округ,2019,3.2
Белгородская область,2019,1.0
Брянская область,2019,0.5
Владимирская область,2019,0.9
Воронежская область,2019,1.5
Ивановская область,2019,0.8
Калужская область,2019,1.5
Костромская область,2019,1.0
Курская область,2019,0.8
Липецкая область,2019,0.8
Московская область,2019,4.7
Орловская область,2019,1.1
Рязанская область,2019,0.8
Смоленская область,2019,0.3
