region,year,share_online,territory_level,population,income_pc,online_buyers_pct,cashless_payments_index,abs_change,growth_rate_pct,growth_increment_pct
Чеченская Республика,2023,0.2,subject,,35920.0,,24.60163592725852,0.1,200.0,100.0
Республика Дагестан,2023,0.2,subject,,39686.0,,30.557808757647408,0.1,200.0,100.0
Республика Ингушетия,2023,0.3,subject,,24414.0,,23.967020501570115,0.0,100.0,0.0
Кабардино-Балкарская Республика,2023,0.3,subject,,,,41.19791535689004,0.0999999999999999,149.99999999999997,49.99999999999998
Республика Бурятия,2023,0.8,subject,,38412.0,,66.89096643322134,0.4,200.0,100.0
Карачаево-Черкесская Республика,2023,1.0,subject,,,,46.7592354264302,0.0999999999999999,111.11111111111111,11.111111111111116
Забайкальский край,2023,1.0,subject,,42758.0,,66.13008170943745,0.1999999999999999,125.0,25.0
Еврейская авт. область,2023,1.1,subject,,,,,0.1,110.0,10.000000000000009
Республика Северная Осетия -Алания,2023,1.4,subject,,,,,0.7999999999999999,233.33333333333331,133.33333333333334
Магаданская область,2023,1.4,subject,,111157.0,,69.77189550169443,0.2999999999999998,127.27272727272724,27.27272727272725
Сахалинская область,2023,1.6,subject,,87902.0,,66.85647671635927,0.3,123.07692307692308,23.076923076923084
Камчатский край,2023,1.8,subject,,87054.0,,68.24300021760224,0.3,120.0,20.0
Астраханская область,2023,1.9,subject,,36593.0,,57.384026429296334,0.2999999999999998,118.74999999999996,18.74999999999998
Калининградская область,2023,2.0,subject,,43543.0,,62.26843033442506,0.3,117.64705882352942,17.647058823529417
Псковская область,2023,2.3,subject,,39898.0,,63.17029683314013,0.3999999999999999,121.05263157894736,21.052631578947366
