region,first_year,last_year,first_value,last_value,absolute_increase,cagr
Алтайский край,2014,2023,0.1,6.0,5.9,0.5760586001492374
Амурская область,2015,2023,0.07,4.3,4.2299999999999995,0.673194013080467
Архангельская область,2014,2023,0.2,7.6,7.3999999999999995,0.4980679431428716
Архангельская область (кроме Ненецкого автономного округа),2014,2023,0.2,7.8,7.6,0.502397860063575
Астраханская область,2014,2023,0.1,1.9,1.7999999999999998,0.3870232258442192
Белгородская область,2014,2023,0.1,4.3,4.2,0.5187856847554255
Брянская область,2014,2023,0.1,4.8,4.7,0.5374626775757692
Владимирская область,2014,2023,0.9,4.1,3.1999999999999997,0.18350817138836728
Волгоградская область,2014,2023,0.1,6.4,6.300000000000001,0.5874010519681994
Вологодская область,2014,2023,0.2,5.5,5.3,0.44519301842433334
Воронежская область,2014,2023,0.3,6.1,5.8,0.3975150994605605
Еврейская авт. область,2017,2023,0.1,1.1,1.0,0.49130147541310887
Забайкальский край,2015,2023,0.16,1.0,0.84,0.2574334296829355
Ивановская область,2014,2023,0.1,4.8,4.7,0.5374626775757692
Иркутская область,2014,2023,0.4,4.0,3.6,0.2915496650148839
Кабардино-Балкарская Республика,2014,2023,0.1,0.3,0.19999999999999998,0.12983096390975302
Калининградская область,2015,2023,0.09,2.0,1.91,0.4734942171955643
Калужская область,2015,2023,0.1,4.8,4.7,0.6223896036109775
Камчатский край,2015,2023,0.03,1.8,1.77,0.6682798577318316
Карачаево-Черкесская Республика,2014,2023,0.1,1.0,0.9,0.2915496650148839
Кемеровская область - Кузбасс,2014,2023,0.2,7.8,7.6,0.502397860063575
Кировская область,2014,2023,0.1,7.1,7.0,0.6058144886858523
Костромская область,2014,2023,0.1,5.3,5.2,0.5544838261856166
Краснодарский край,2014,2023,0.7,5.1,4.3999999999999995,0.2468960160895668
Красноярский край,2014,2023,2.4,4.5,2.1,0.07234239138595444
Курганская область,2014,2023,0.2,4.0,3.8,0.39495079396242105
Курская область,2014,2023,0.1,4.6,4.5,0.5302094165649887
Ленинградская область,2014,2023,0.6,6.8,6.2,0.30963674385715567
Липецкая область,2014,2023,0.2,5.4,5.2,0.4422495703074083
Магаданская область,2018,2023,0.0,1.4,1.4,
Московская область,2014,2023,0.4,10.6,10.2,0.4392572653248541
Мурманская область,2014,2023,0.3,8.3,8.0,0.4461636009377945
Ненецкий автономный округ (Архангельская область),2015,2023,0.0,3.1,3.1,
Нижегородская область,2014,2023,1.5,5.9,4.4,0.16435262887621938
Новгородская область,2016,2023,0.3,5.8,5.5,0.5267154674932761
Новосибирская область,2014,2023,1.1,10.1,9.0,0.27935796269677304
Омская область,2014,2023,0.2,5.8,5.6,0.4537464474156747
Оренбургская область,2015,2023,0.04,5.1,5.06,0.833111040485905
Орловская область,2014,2023,0.2,6.0,5.8,0.4592328029610848
Пензенская область,2014,2023,0.1,3.7,3.6,0.4936355304176858
Пермский край,2014,2023,0.4,3.7,3.3000000000000003,0.28041007102611903
Приморский край,2014,2023,0.2,6.2,6.0,0.4645589422527667
Псковская область,2015,2023,0.01,2.3,2.29,0.9734038879461293
Республика Адыгея,2014,2023,0.1,7.0,6.9,0.6032856051269204
Республика Алтай,2014,2023,0.3,7.0,6.7,0.41904909348455877
Республика Башкортостан,2014,2023,0.1,5.7,5.6000000000000005,0.5671017882207892
Республика Бурятия,2014,2023,0.1,0.8,0.7000000000000001,0.2599210498948732
Республика Дагестан,2015,2023,0.03,0.2,0.17,0.2676185695584077
Республика Ингушетия,2019,2023,0.0,0.3,0.3,
Республика Калмыкия,2017,2023,0.0,36.5,36.5,
Республика Карелия,2014,2023,0.9,4.3,3.4,0.1897879046091906
Республика Коми,2015,2023,0.0,6.0,6.0,
Республика Крым,2015,2023,0.12,6.4,6.28,0.6438979012134753
Республика Марий Эл,2014,2023,0.1,3.1,3.0,0.4645589422527667
Республика Мордовия,2014,2023,0.1,8.8,8.700000000000001,0.644574796238788
Республика Саха (Якутия),2015,2023,0.0,4.4,4.4,
Республика Северная Осетия -Алания,2014,2023,0.1,1.4,1.2999999999999998,0.3407492401952805
Республика Татарстан,2014,2023,0.6,7.5,6.9,0.3239722737700459
Республика Тыва,2014,2023,0.7,3.7,3.0,0.20321947804962526
Республика Хакасия,2014,2023,0.2,2.6,2.4,0.3297545456397859
Ростовская область,2014,2023,0.7,7.4,6.7,0.2995489152924151
Рязанская область,2014,2023,0.1,4.3,4.2,0.5187856847554255
Самарская область,2014,2023,0.7,6.1,5.3999999999999995,0.27195046799215583
Саратовская область,2014,2023,0.5,6.6,6.1,0.3320122367744329
Сахалинская область,2015,2023,0.07,1.6,1.53,0.4786920666109584
Свердловская область,2014,2023,1.4,10.0,8.6,0.24415549693475813
Смоленская область,2014,2023,0.1,2.7,2.6,0.4422495703074083
Ставропольский край,2014,2023,0.1,5.3,5.2,0.5544838261856166
Тамбовская область,2014,2023,0.4,4.6,4.199999999999999,0.31176281485544766
Тверская область,2014,2023,4.2,4.1,-0.10000000000000053,-0.002673924409586248
Томская область,2014,2023,2.1,6.2,4.1,0.1278241171083936
Тульская область,2014,2023,0.1,4.4,4.300000000000001,0.5226702163025172
Тюменская область,2014,2023,0.3,6.3,6.0,0.40253353760291133
Тюменская область без авт. округов,2014,2023,0.4,6.7,6.3,0.36773400845393267
Удмуртская Республика,2014,2023,0.2,8.9,8.700000000000001,0.5245831386988824
Ульяновская область,2014,2023,0.3,5.9,5.6000000000000005,0.3923482133743603
Хабаровский край,2014,2023,0.8,4.0,3.2,0.19581317450040192
Челябинская область,2014,2023,1.9,8.7,6.799999999999999,0.1841818647011637
Чеченская Республика,2014,2023,0.01,0.2,0.19,0.39495079396242105
Чувашская Республика,2014,2023,0.1,4.6,4.5,0.5302094165649887
Ямало-Ненецкий авт. округ,2014,2023,0.3,6.4,6.1000000000000005,0.40498986368282575
Ярославская область,2014,2023,0.1,8.3,8.200000000000001,0.6339204152187476
в том числе: Ханты-Мансийский авт. округ,2014,2023,0.3,5.9,5.6000000000000005,0.3923482133743603
г. Москва,2014,2023,1.1,15.5,14.4,0.3417138113210252
г. Санкт-Петербург,2014,2023,2.0,19.0,17.0,0.28420973016430584
г. Севастополь,2015,2023,0.05,7.1,7.05,0.8579586447404615
