region,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Архангельская область,0.2,0.26,0.3,0.9,1.4,1.7,3.0,5.2,6.0,7.6
Архангельская область (кроме Ненецкого автономного округа),0.2,0.27,0.3,0.8,1.4,1.7,3.0,5.3,6.2,7.8
Кемеровская область - Кузбасс,0.2,0.11,0.2,0.2,0.6,1.0,1.3,3.1,6.3,7.8
Кировская область,0.1,0.45,0.4,0.5,0.5,0.9,2.3,3.8,5.5,7.1
Ленинградская область,0.6,0.63,0.6,0.7,1.5,1.4,2.3,4.1,6.5,6.8
Московская область,0.4,0.51,2.6,2.9,4.9,4.7,6.2,8.8,10.1,10.6
Мурманская область,0.3,0.27,0.5,0.7,0.8,0.9,1.5,1.9,4.6,8.3
Новосибирская область,1.1,4.54,4.6,4.8,4.8,5.3,8.0,8.6,8.7,10.1
Республика Адыгея,0.1,0.12,0.1,0.2,0.8,1.0,2.6,4.1,4.3,7.0
Республика Алтай,0.3,0.33,0.4,0.4,0.7,1.0,2.1,3.8,6.4,7.0
Республика Калмыкия,,,,0.0,0.0,0.1,0.8,0.8,1.0,36.5
Республика Крым,,0.12,0.1,0.3,0.5,1.0,2.4,5.9,6.3,6.4
Республика Мордовия,0.1,0.08,0.1,0.2,0.4,0.7,1.1,1.7,5.8,8.8
Республика Татарстан,0.6,1.09,1.3,1.3,1.3,2.0,3.8,5.3,6.4,7.5
Ростовская область,0.7,0.79,0.9,0.8,0.8,0.8,2.8,6.2,6.5,7.4
Саратовская область,0.5,0.51,0.8,0.8,0.7,0.8,2.7,4.6,5.3,6.6
Свердловская область,1.4,1.37,1.7,1.8,2.2,2.3,4.1,7.8,9.0,10.0
Тюменская область без авт. округов,0.4,0.39,0.4,0.4,0.4,0.5,1.5,1.7,3.5,6.7
Удмуртская Республика,0.2,0.31,0.4,0.4,0.4,0.5,1.4,1.9,4.1,8.9
Челябинская область,1.9,1.35,1.4,1.2,1.1,0.9,2.8,4.6,6.2,8.7
Ямало-Ненецкий авт. округ,0.3,0.3,0.3,0.3,0.3,0.4,1.4,1.6,3.0,6.4
Ярославская область,0.1,0.11,0.3,0.3,0.4,0.5,1.3,2.1,2.5,8.3
г. Москва,1.1,1.79,3.1,3.1,3.2,4.3,9.3,9.2,10.3,15.5
г. Санкт-Петербург,2.0,1.57,1.6,1.8,4.2,4.5,7.3,8.8,13.5,19.0
г. Севастополь,,0.05,0.0,0.0,0.1,2.9,7.8,10.4,7.6,7.1
