year,min,q1,median,q3,max,mean
2014,0.01,0.1,0.2,0.6,4.2,0.5001492537313433
2015,0.0,0.09,0.24,0.62,6.7,0.55575
2016,0.0,0.1,0.3,0.6749999999999999,4.6,0.5658536585365853
2017,0.0,0.2,0.4,0.8,4.8,0.6416666666666666
2018,0.0,0.3,0.5,0.8,4.9,0.8058823529411765
2019,0.0,0.4,0.8,1.1,5.3,1.0162790697674422
2020,0.0,1.3,1.7,2.4,9.3,2.139534883720931
2021,0.1,1.6,2.4,4.175,10.4,3.0825581395348833
2022,0.1,2.0,3.5,5.45,13.5,3.862790697674419
2023,0.2,3.7750000000000004,5.3,6.675,36.5,5.6360465116279075
