region,first_year,last_year,first_value,last_value,absolute_increase,cagr
Псковская область,2015,2023,0.01,2.3,2.29,0.9734038879461293
г. Севастополь,2015,2023,0.05,7.1,7.05,0.8579586447404615
Оренбургская область,2015,2023,0.04,5.1,5.06,0.833111040485905
Амурская область,2015,2023,0.07,4.3,4.2299999999999995,0.673194013080467
Камчатский край,2015,2023,0.03,1.8,1.77,0.6682798577318316
Республика Мордовия,2014,2023,0.1,8.8,8.700000000000001,0.644574796238788
Республика Крым,2015,2023,0.12,6.4,6.28,0.6438979012134753
Ярославская область,2014,2023,0.1,8.3,8.200000000000001,0.6339204152187476
Калужская область,2015,2023,0.1,4.8,4.7,0.6223896036109775
Кировская область,2014,2023,0.1,7.1,7.0,0.6058144886858523
Республика Адыгея,2014,2023,0.1,7.0,6.9,0.6032856051269204
Волгоградская область,2014,2023,0.1,6.4,6.300000000000001,0.5874010519681994
Алтайский край,2014,2023,0.1,6.0,5.9,0.5760586001492374
Республика Башкортостан,2014,2023,0.1,5.7,5.6000000000000005,0.5671017882207892
Ставропольский край,2014,2023,0.1,5.3,5.2,0.5544838261856166
